,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
74,Bottega Cabernet Sauvignon IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,0.0,0.0,Wines,12/05/2024,17.23,13.81,15.97,1437.5
75,Pocari Sweat Powder - 740 gm,3800.0,0.0,0.0,Wines,12/05/2024,28.47,22.82,26.39,2375.0
76,Robertson Winery Sweet White 750ML,1450.0,0.0,0.0,Wines,12/05/2024,10.86,8.71,10.07,906.25
77,Canvas White Wine 750Ml,895.0,0.0,0.0,Wines,12/05/2024,6.71,5.38,6.22,559.38
78,Bottega Chardonnay IGT Trevenezie White Wine 750ML -By Cheers Online,2300.0,0.0,0.0,Wines,12/05/2024,17.23,13.81,15.97,1437.5
79,Bottega Cabernet Sauvignon 750ml,2495.0,0.0,0.0,Wines,12/05/2024,18.69,14.98,17.33,1559.38
80,Lindeman's Bin 95 Sauvignon Blanc White Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,12/05/2024,15.73,12.61,14.58,1312.5
81,Maison Castel Chardonnay Blanc 750 Ml,1950.0,0.0,0.0,Wines,12/05/2024,14.61,11.71,13.54,1218.75
82,Divine Wine Red Sweet Wine 750Ml,775.0,0.0,0.0,Wines,12/05/2024,5.81,4.65,5.38,484.38
83,Hardys Nottage Hill Shiraz 750ml,1695.0,0.0,0.0,Wines,12/05/2024,12.7,10.18,11.77,1059.38
84,Akira Sweet White Wine 750 ML,825.0,0.0,0.0,Wines,12/05/2024,6.18,4.95,5.73,515.62
85,El Chivo Sauvignon Blanc (750 ml),1700.0,0.0,0.0,Wines,12/05/2024,12.74,10.21,11.81,1062.5
86,Jc Carbenet Sauvigon 750 Ml,1785.0,0.0,0.0,Wines,12/05/2024,13.37,10.72,12.4,1115.62
87,Gorkha Strong Can Beer 500ml 12pcs,3255.0,5.0,0.0,Beer,12/05/2024,24.39,19.55,22.61,2034.38
88,Arna 8 330Ml,175.0,0.0,0.0,Beer,12/05/2024,1.31,1.05,1.22,109.38
89,Gorkha Strong Can Beer 500ml,265.0,0.0,0.0,Beer,12/05/2024,1.99,1.59,1.84,165.62
90,Craft Beer Barahsinghe Pilsner Beer 650ml Set of 12,4785.0,0.0,0.0,Beer,12/05/2024,35.85,28.74,33.23,2990.62
91,Barahsinghe Pilsner 650ML,399.0,0.0,0.0,Beer,12/05/2024,2.99,2.4,2.77,249.38
92,Tuborg Gold Premium Beer 650,425.0,0.0,0.0,Beer,12/05/2024,3.18,2.55,2.95,265.62
93,Carlsberg Danish Pilsner Can 500ML,365.0,0.0,0.0,Beer,12/05/2024,2.73,2.19,2.53,228.12
94,Tuborg Gold Premium Beer Can Beer 500,335.0,0.0,0.0,Beer,12/05/2024,2.51,2.01,2.33,209.38
95,Tuborg Can Beer 500ml 12pcs,4050.0,0.0,0.0,Beer,12/05/2024,30.34,24.32,28.13,2531.25
96,Barahsinghe Pilsner Beer Yak Beer 650,395.0,0.0,0.0,Beer,12/05/2024,2.96,2.37,2.74,246.88
97,Tuborg Premium Beer Gold 500Ml,475.0,0.0,0.0,Beer,12/05/2024,3.56,2.85,3.3,296.88
98,Tuborg Gold Premium Beer 330,220.0,0.0,0.0,Beer,12/05/2024,1.65,1.32,1.53,137.5
99,Nepal Ice Can Beer 500ml 12pcs,3255.0,0.0,0.0,Beer,12/05/2024,24.39,19.55,22.61,2034.38
100,"Pasabahce Beer Mug, Pub,355 ml, Set of 2",875.0,0.0,0.0,Beer,12/05/2024,6.56,5.25,6.08,546.88
101,Arna (8) Beer 330 Ml,170.0,0.0,0.0,Beer,12/05/2024,1.27,1.02,1.18,106.25
102,Corona Extra Bottle 330Ml,425.0,0.0,0.0,Beer,12/05/2024,3.18,2.55,2.95,265.62
103,Tuborg Gold Premium Can Beer 500ml,325.0,0.0,0.0,Beer,12/05/2024,2.43,1.95,2.26,203.12
104,Carlsberg Danish Pilsner Can Beer 500ml,310.0,0.0,0.0,Beer,12/05/2024,2.32,1.86,2.15,193.75
105,Arna 8 650Ml,330.0,0.0,0.0,Beer,12/05/2024,2.47,1.98,2.29,206.25
106,Tuborg Gold Premium Can Beer 500 ML,320.0,0.0,0.0,Beer,12/05/2024,2.4,1.92,2.22,200.0
107,Tuborg Gold Premium Beer 650 ML,425.0,0.0,0.0,Beer,12/05/2024,3.18,2.55,2.95,265.62
108,"Pasabahce Craft Beer  455ml, Set of 4",1185.0,0.0,0.0,Beer,12/05/2024,8.88,7.12,8.23,740.62
109,Barahsinghe Pilsner Beer Yak Can Beer 500,310.0,0.0,0.0,Beer,12/05/2024,2.32,1.86,2.15,193.75
110,Gorkha Strong Can Beer 500 ML,290.0,0.0,0.0,Beer,12/05/2024,2.17,1.74,2.01,181.25
111,Arna Wild Himalayan Beer 650 ML,330.0,0.0,0.0,Beer,12/05/2024,2.47,1.98,2.29,206.25
112,Tuborg Beer 330 Ml,215.0,0.0,0.0,Beer,12/05/2024,1.61,1.29,1.49,134.38
113,Gorkha Strong Beer 650 Ml,350.0,0.0,0.0,Beer,12/05/2024,2.62,2.1,2.43,218.75
114,Arna Wild Himalayan Beer 330 ML,175.0,0.0,0.0,Beer,12/05/2024,1.31,1.05,1.22,109.38
115,Gorkha Strong Beer 650 ML,330.0,0.0,0.0,Beer,12/05/2024,2.47,1.98,2.29,206.25
116,Tuborg Beer 650 Ml,425.0,0.0,0.0,Beer,12/05/2024,3.18,2.55,2.95,265.62
117,Tuborg Can Beer 500 Ml,325.0,0.0,0.0,Beer,12/05/2024,2.43,1.95,2.26,203.12
118,Tuborg Gold Premium Beer 650ml,425.0,0.0,0.0,Beer,12/05/2024,3.18,2.55,2.95,265.62
119,Carlsberg Danish Pilsner Can Beer 500ml Set of 12,4380.0,0.0,0.0,Beer,12/05/2024,32.81,26.3,30.42,2737.5
120,Barahsinghe Pale Ale Yak Craft Beer 650Ml,435.0,0.0,0.0,Beer,12/05/2024,3.26,2.61,3.02,271.88
121,Gorkha Extra Strong 330 Ml,175.0,0.0,0.0,Beer,12/05/2024,1.31,1.05,1.22,109.38
122,Carslberg Can Beer 500 Ml,350.0,0.0,0.0,Beer,12/05/2024,2.62,2.1,2.43,218.75
123,Budweiser 650ml,400.0,0.0,0.0,Beer,12/05/2024,3.0,2.4,2.78,250.0
124,Carslberg Beer 650 Ml,450.0,0.0,0.0,Beer,12/05/2024,3.37,2.7,3.13,281.25
125,San Soju - 300ML -By Cheers Online,170.0,4.6,2.0,Spirits,12/05/2024,1.27,1.02,1.18,106.25
126,Dragon Strong Beer 650 ML,290.0,0.0,0.0,Beer,12/05/2024,2.17,1.74,2.01,181.25
127,Old Marphali Apple Brandy 750ml,1300.0,4.5,0.0,Spirits,12/05/2024,9.74,7.81,9.03,812.5
128,Gorkha Extra Strong Beer 330 ML,175.0,0.0,0.0,Beer,12/05/2024,1.31,1.05,1.22,109.38
129,Khukri Coronation Domestic Rum - 375ML -By Cheers Online,2700.0,4.9,5.0,Spirits,12/05/2024,20.23,16.22,18.75,1687.5
130,Glenfiddich Whiskey 12yrs 1L,11500.0,0.0,0.0,Spirits,12/05/2024,86.16,69.06,79.87,7187.5
131,Old Marphali Apple Brandy 180ml,335.0,5.0,0.0,Spirits,12/05/2024,2.51,2.01,2.33,209.38
132,Seagram's Royal Stag Whisky - 750ML -By Cheers Online,2000.0,5.0,0.0,Spirits,12/05/2024,14.98,12.01,13.89,1250.0
133,Old Durbar Reserve Whisky - 750ml -By Cheers Online,2775.0,4.9,9.0,Spirits,12/05/2024,20.79,16.67,19.27,1734.38
134,Marpha Mustang Apple Brandy - 750ML -By Cheers Online,1050.0,4.2,1.0,Spirits,12/05/2024,7.87,6.31,7.29,656.25
135,8848 Vodka 750ml Made in Himalayan -2 Bottles,4500.0,0.0,0.0,Spirits,12/05/2024,33.71,27.03,31.25,2812.5
