,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
146,Courvoisier VSOP Fine Cognac - 500 ml -By Cheers Online,6520.0,0.0,0.0,Spirits,25/04/2024,48.85,39.16,45.28,4075.0
147,Jagermeister 200ML,1600.0,0.0,0.0,Spirits,25/04/2024,11.99,9.61,11.11,1000.0
148,Gilbey's 1857 Special Dry Gin - 1 ltr -By Cheers Online,6500.0,0.0,0.0,Spirits,25/04/2024,48.7,39.04,45.14,4062.5
149,Ginger Liqueur Bottega 25% Cl 50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
150,Soju Good Day Original 360 ml,1300.0,0.0,0.0,Spirits,25/04/2024,9.74,7.81,9.03,812.5
151,Bottega Bacur Gin (700ml),6950.0,0.0,0.0,Spirits,25/04/2024,52.07,41.74,48.27,4343.75
152,Blue Daimand 750 Ml,1120.0,0.0,0.0,Spirits,25/04/2024,8.39,6.73,7.78,700.0
153,Blue Daimand 180 Ml,280.0,0.0,0.0,Spirits,25/04/2024,2.1,1.68,1.94,175.0
154,Dewazakura  180Ml,1210.0,0.0,0.0,Spirits,25/04/2024,9.07,7.27,8.4,756.25
155,Highlander Pure White Vodka 750,1140.0,0.0,0.0,Spirits,25/04/2024,8.54,6.85,7.92,712.5
156,Beefeater London Dry Gin 750ML,5305.0,0.0,0.0,Spirits,25/04/2024,39.74,31.86,36.84,3315.62
157,Red & Black Whiskey 375ML,650.0,0.0,0.0,Spirits,25/04/2024,4.87,3.9,4.51,406.25
158,Golden Oak Premium Blended Malt 750ml,1150.0,0.0,0.0,Spirits,25/04/2024,8.62,6.91,7.99,718.75
159,Blue Riband Gin 180ML(PACK OF 3),1320.0,0.0,0.0,Spirits,25/04/2024,9.89,7.93,9.17,825.0
160,"Pomogranete Liquore Bottega 20%
Cl50 - 500 ml",4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
161,Campari Bitter Liqueur - 1ltr -By Cheers Online,8825.0,0.0,0.0,Spirits,25/04/2024,66.11,53.0,61.29,5515.62
162,Martini Extra Dry Liqueur - 1L -By Cheers Online,3250.0,0.0,0.0,Spirits,25/04/2024,24.35,19.52,22.57,2031.25
163,Blue Diamond -375ML,600.0,0.0,0.0,Spirits,25/04/2024,4.5,3.6,4.17,375.0
164,Mustang Gold 750,1200.0,0.0,0.0,Spirits,25/04/2024,8.99,7.21,8.33,750.0
165,Jagermeister 500ML,4100.0,0.0,0.0,Spirits,25/04/2024,30.72,24.62,28.47,2562.5
166,8848 Vodka 180,535.0,0.0,0.0,Spirits,25/04/2024,4.01,3.21,3.72,334.38
167,Pimm's Original Liquor - 1L -By Cheers Online,7500.0,0.0,0.0,Spirits,25/04/2024,56.19,45.04,52.09,4687.5
168,Bottega Limoncino Liquore 30% 500ml,4465.0,0.0,0.0,Spirits,25/04/2024,33.45,26.82,31.01,2790.62
169,Exe Vodka 180Ml,455.0,0.0,0.0,Spirits,25/04/2024,3.41,2.73,3.16,284.38
170,Yarchagumba Beverage Golden Sapphire 750ML,12000.0,0.0,0.0,Spirits,25/04/2024,89.9,72.07,83.34,7500.0
171,Peach Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
172,Khukuri Rum 750Ml,2050.0,0.0,0.0,Spirits,25/04/2024,15.36,12.31,14.24,1281.25
173,Jagermeister - 750ML German Liqueur,5875.0,0.0,0.0,Spirits,25/04/2024,44.01,35.28,40.8,3671.88
174,Exe Vodka 750Ml,1945.0,0.0,0.0,Spirits,25/04/2024,14.57,11.68,13.51,1215.62
175,Hana Awaka Sparkling Wine -Japanese Sparkling Wine 250Ml,1210.0,0.0,0.0,Spirits,25/04/2024,9.07,7.27,8.4,756.25
176,8848 Vodka 750,2105.0,0.0,0.0,Spirits,25/04/2024,15.77,12.64,14.62,1315.62
177,Le Favori Triple Sec Liqueur - 700ML -By Cheers Online,5500.0,0.0,0.0,Spirits,25/04/2024,41.2,33.03,38.2,3437.5
178,Gianduia Liquore Bottega 17% Cl50 - 500 ml,4800.0,0.0,0.0,Spirits,25/04/2024,35.96,28.83,33.34,3000.0
179,Pinapple Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
180,Cointreau Orange Liqueur 1L,14680.0,0.0,0.0,Spirits,25/04/2024,109.98,88.16,101.95,9175.0
181,Absolut Vodka 1000 Ml,6200.0,0.0,0.0,Spirits,25/04/2024,46.45,37.24,43.06,3875.0
182,Olmega Tequla Silver 750 Ml,5600.0,0.0,0.0,Spirits,25/04/2024,41.95,33.63,38.89,3500.0
183,8848 Vodka 375,1075.0,0.0,0.0,Spirits,25/04/2024,8.05,6.46,7.47,671.88
184,Liquiriza Liquore Bottega 25% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
185,Melon Liquor Bottega 28% Cl50 - 500 ml,4500.0,0.0,0.0,Spirits,25/04/2024,33.71,27.03,31.25,2812.5
186,Vaccari Sambuca 700ML,8735.0,0.0,0.0,Spirits,25/04/2024,65.44,52.46,60.66,5459.38
187,Blue Fin 35Ml,600.0,0.0,0.0,Spirits,25/04/2024,4.5,3.6,4.17,375.0
188,Yokaichi Mugi  200Ml  Japanese Shochu,1520.0,0.0,0.0,Spirits,25/04/2024,11.39,9.13,10.56,950.0
189,Yokaichi Imo 200Ml Japanese Shochu,1520.0,0.0,0.0,Spirits,25/04/2024,11.39,9.13,10.56,950.0
190,Fior Di Latte Liquore Bottega 15%Cl50 - 500 ml,5900.0,0.0,0.0,Spirits,25/04/2024,44.2,35.43,40.98,3687.5
